,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,,Environmental Indicators: Energy,,,
1,,,,,,
2,,,Energy Supply and Renewable Electricity Production in 2013,,,
3,,,,,,
4,,,,,,Last update: December 2015
5,,,,,,
6,,,Choose a country from the following drop-down list:,,,Andorra
7,,,,,,
8,,,Country,Energy Supply,Energy Supply per capita,Renewable Electricity Production
9,,,,Petajoules,Gigajoules,%
10,,,Andorra,9,121,88.69565
11,,,,,,
12,,,,,,website: http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm
13,,,,,,
14,,,,,,
15,,,,Energy Supply,Energy Supply per capita,Renewable Electricity Production
16,,,,Petajoules,Gigajoules,%
17,,Afghanistan,Afghanistan,321,10,78.66928
18,,Albania,Albania,102,35,100
19,,Algeria,Algeria,1959,51,0.55101
20,,American Samoa,American Samoa,...,...,0.641026
21,,Andorra,Andorra,9,121,88.69565
22,,Angola,Angola,642,27,70.90909
23,,Anguilla,Anguilla,2,136,0
24,,Antigua and Barbuda,Antigua and Barbuda,8,84,0
25,,Argentina,Argentina,3378,79,24.06452
26,,Armenia,Armenia,143,48,28.23606
27,,Aruba,Aruba,12,120,14.87069
28,,Australia,Australia1,5386,231,11.81081
29,,Austria,Austria,1391,164,72.45282
30,,Azerbaijan,Azerbaijan,567,60,6.384345
31,,Bahamas,Bahamas,45,118,0
32,,Bahrain,Bahrain,574,425,0
33,,Bangladesh,Bangladesh,1625,10,1.966329
34,,Barbados,Barbados,19,69,0
35,,Belarus,Belarus,1142,120,0.463389
36,,Belgium,Belgium,2338,210,9.959739
37,,Belize,Belize,13,39,64.69003
38,,Benin,Benin,170,16,0
39,,Bermuda,Bermuda,6,88,0
40,,Bhutan,Bhutan,63,83,100
41,,Bolivia (Plurinational State of),Bolivia (Plurinational State of),336,32,31.47712
42,,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",5,213,0
43,,Bosnia and Herzegovina,Bosnia and Herzegovina,266,70,41.46467
44,,Botswana,Botswana,86,39,0.131406
45,,Brazil,Brazil,12149,59,69.64803
46,,British Virgin Islands,British Virgin Islands,2,85,0
47,,Brunei Darussalam,Brunei Darussalam,127,310,0.045434
48,,Bulgaria,Bulgaria,703,97,17.23461
49,,Burkina Faso,Burkina Faso,164,10,14.50068
50,,Burundi,Burundi,58,6,86.79245
51,,Cabo Verde,Cabo Verde,7,15,21.22762
52,,Cambodia,Cambodia,250,17,57.31159
53,,Cameroon,Cameroon,307,14,70.88626
54,,Canada,Canada,10431,296,61.94543
55,,Cayman Islands,Cayman Islands,8,131,0
